,가수이름,노래제목
0,AKMU (악뮤),Love Lee
1,AKMU (악뮤),후라이의 꿈
2,정국,Seven (feat. Latto) - Clean Ver.
3,"다이나믹 듀오, 이영지","Smoke (Prod. Dynamicduo, Padi)"
4,NewJeans,Super Shy
5,NewJeans,ETA
6,전소미,Fast Forward
7,우디 (Woody),사막에서 꽃을 피우듯
8,박재정,헤어지자 말해요
9,화사 (HWASA),I Love My Body
10,IVE (아이브),I AM
11,임영웅,사랑은 늘 도망가
12,STAYC(스테이씨),Bubble
13,임영웅,모래 알갱이
14,(여자)아이들,퀸카 (Queencard)
15,임영웅,우리들의 블루스
16,정국,Still With You
17,임영웅,다시 만날 수 있을까
18,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
19,NewJeans,Hype boy
20,Lauv,Steal The Show (From “엘리멘탈”)
21,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
22,임영웅,이제 나만 믿어요
23,IVE (아이브),Either Way
24,임영웅,무지개
25,aespa,Spicy
26,임영웅,아버지
27,임영웅,London Boy
28,IVE (아이브),Kitsch
29,임영웅,Polaroid
30,NewJeans,Ditto
31,V,Love Me Again
32,임영웅,인생찬가
33,NewJeans,New Jeans
34,임영웅,A bientot
35,이세계아이돌,KIDDING
36,임영웅,손이 참 곱던 그대
37,ITZY (있지),CAKE
38,임영웅,사랑해 진짜
39,임영웅,연애편지
40,Paul Blanco,Summer (Feat. BE’O (비오))
41,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
42,IVE (아이브),After LIKE
43,성시경,너의 모든 순간
44,윤하 (YOUNHA),사건의 지평선
45,방탄소년단,Dynamite
46,BIG Naughty (서동현),Vancouver 2
47,AKMU (악뮤),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
48,탑현,나에게 그대만이
49,임영웅,보금자리
50,IVE (아이브),LOVE DIVE
51,NewJeans,OMG
52,멜로망스,사랑인가 봐
53,V,Slow Dancing
54,DK(디셈버),심(心)
55,NewJeans,Attention
56,Charlie Puth,I Don't Think That I Like Her
57,방탄소년단,Butter
58,임한별,사랑하지 않아서 그랬어
59,방탄소년단,봄날
60,RIIZE,Get A Guitar
61,V,Rainy Days
62,세븐틴 (SEVENTEEN),손오공
63,IVE (아이브),I WANT
64,지민,Like Crazy
65,Charlie Puth,Dangerously
66,지수 (JISOO),꽃
67,방탄소년단,Take Two
68,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
69,NewJeans,Cool With You
70,김민석 (멜로망스),취중고백
71,NCT U,Baggy Jeans
72,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
73,Crush,Click Like (Prod. Crush) (Feat. Paul Blanco)
74,STAYC(스테이씨),Teddy Bear
75,Agust D,사람 Pt.2 (feat. 아이유)
76,"경서예지, 전건호",다정히 내 이름을 부르면
77,"The Kid LAROI, Justin Bieber",STAY
78,"김연지, DK(디셈버)",미친 사랑의 노래
79,#안녕,해요 (2022)
80,케이시 (Kassy),사실말야내가말야그게그러니까말이야
81,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
82,허각,물론
83,잔나비,주저하는 연인들을 위해
84,LE SSERAFIM (르세라핌),ANTIFRAGILE
85,김호중,그중에 그대를 만나
86,제이세라,사랑의 바보
87,디오 (D.O.),별 떨어진다 (I Do)
88,NCT DREAM,Candy
89,디오 (D.O.),Somebody
90,이무진,잠깐 시간 될까
91,지아,사랑..그게 뭔데
92,우효,민들레 (single ver.)
93,FIFTY FIFTY,Cupid
94,NCT DREAM,ISTJ
95,경서,첫 키스에 내 심장은 120BPM
96,aespa,Better Things
97,NewJeans,ASAP
98,"j-hope, J. Cole",on the street (with J. Cole)
99,오마이걸 (OH MY GIRL),여름이 들려 (Summer Comes)
